,Temp,Field,Moment_emu,Moment_emu_g,Field_True
0,300.0,-7.00004765625,-0.0030720538606837,-51.25214982788955,-6.764925
1,300.0,-6.500047265625,-0.0031093255337559,-51.87396619546046,-6.28322
2,300.0,-6.000041796875,-0.0031418834229077,-52.417140855984314,-5.799313
3,300.0,-5.50003203125,-0.0031699038832347,-52.88461600324825,-5.316038
4,300.0,-5.000036328125,-0.0031994553779047,-53.377633932344004,-4.832623
5,300.0,-4.5000328125,-0.0032285681995957,-53.86333332658825,-4.349575
6,300.0,-4.000030078125,-0.0032573518370921,-54.34354082569402,-3.8666050000000003
7,300.0,-3.50004453125,-0.0032855605474011,-54.814156613298294,-3.3831629999999997
8,300.0,-3.000046484375,-0.0033130030089005,-55.271988803812135,-2.899338
9,300.0,-2.5000330078125,-0.0033380840520471,-55.69042462541041,-2.4161
10,300.0,-2.0000291015625,-0.0033611619214472,-56.07544079825158,-1.9329150000000002
11,300.0,-1.5000287109375,-0.0033808532945419,-56.40395886789956,-1.4495799999999999
12,300.0,-1.0000224609375,-0.0033896174044492,-56.55017358106773,-0.9662440000000001
13,300.0,-0.95003623046875,-0.0033893083110656,-56.545016867961294,-0.91775
14,300.0,-0.90004267578125,-0.0033876243978976,-56.51692355518184,-0.869359
15,300.0,-0.85002470703125,-0.0033869454281602,-56.50559606540207,-0.820809
16,300.0,-0.8000421875,-0.0033863056714474,-56.4949227802369,-0.7724270000000001
17,300.0,-0.750020556640625,-0.0033842542345011,-56.46069793962462,-0.723916
18,300.0,-0.70004287109375,-0.0033820822552771,-56.424462050001665,-0.675545
19,300.0,-0.650040771484375,-0.0033783767034973,-56.36264103265432,-0.627235
20,300.0,-0.600044775390625,-0.0033729779436139,-56.27257163186352,-0.578851
21,300.0,-0.550039013671875,-0.0033673700005997,-56.179012355684016,-0.5304949999999999
22,300.0,-0.500029541015625,-0.0033591223435867,-56.04141380691858,-0.48213999999999996
23,300.0,-0.450025048828125,-0.0033488637854969,-55.87026669163996,-0.433838
24,300.0,-0.400033911132812,-0.0033345221040431,-55.63099940011845,-0.385323
25,300.0,-0.350014721679687,-0.0033162531777583,-55.32621250848015,-0.33692
26,300.0,-0.300035815429687,-0.0032904261583411,-54.89533130365532,-0.288381
27,300.0,-0.2500447265625,-0.003254104674509,-54.28936727575909,-0.23994400000000002
28,300.0,-0.200021838378906,-0.003189405094743,-53.20996154059059,-0.191347
29,300.0,-0.150029528808594,-0.0030844440539702,-51.45885975926259,-0.142725
30,300.0,-0.100029864501953,-0.0028747769864387,-47.96091068466299,-0.094154
31,300.0,-0.0800202270507812,-0.0027236391645667,-45.43942550161328,-0.074985
32,300.0,-0.07904248046875,-0.002714116378908,-45.28055353533533,-0.073589
33,300.0,-0.0780439514160156,-0.0027020682877255,-45.07955101310476,-0.07266900000000001
34,300.0,-0.07703931274414061,-0.0026930067908555,-44.92837488914748,-0.071564
35,300.0,-0.0760371215820312,-0.002686967528844,-44.827619767167164,-0.07061100000000001
36,300.0,-0.0750361511230469,-0.0026761135312119,-44.64653872559059,-0.069597
37,300.0,-0.0740339538574219,-0.0026623358144015,-44.416680253611936,-0.068772
38,300.0,-0.0730342041015625,-0.0026520309234172,-44.2447601504371,-0.068618
39,300.0,-0.0720307922363281,-0.0026428848796341,-44.092173500735726,-0.066726
40,300.0,-0.0710261535644531,-0.002631482377051,-43.90194155907574,-0.065582
41,300.0,-0.070033740234375,-0.0026219491703459,-43.74289573483316,-0.06479700000000001
42,300.0,-0.069030322265625,-0.0026080041454494,-43.51024600349349,-0.063777
43,300.0,-0.0680305725097656,-0.0025955917843832,-43.30316623929262,-0.062852
44,300.0,-0.0670357177734375,-0.0025838908653565,-43.10795571165332,-0.061767999999999997
45,300.0,-0.0660274169921875,-0.0025721115788348,-42.911437751665,-0.060778
46,300.0,-0.0650325500488281,-0.0025579333780413,-42.67489786522022,-0.059908
47,300.0,-0.06403280029296879,-0.002545457996977,-42.466766716333,-0.058971
48,300.0,-0.06303182983398439,-0.00253187221937,-42.2401104332666,-0.057995000000000005
49,300.0,-0.062029638671875,-0.0025185692126065,-42.018171715156825,-0.057076999999999996
50,300.0,-0.061026226806640604,-0.002505918803876,-41.807120518451775,-0.056027
51,300.0,-0.06002647705078121,-0.0024893513826187,-41.530720430742406,-0.055171000000000005
52,300.0,-0.059025506591796895,-0.0024731855459487,-41.26102011926426,-0.05424299999999999
53,300.0,-0.058018426513671895,-0.0024581315536829,-41.009869097145476,-0.053216
54,300.0,-0.0570186767578125,-0.0024393885822352,-40.69717354413079,-0.052158
55,300.0,-0.056026263427734396,-0.0024253195378328,-40.462454751965296,-0.051229
56,300.0,-0.05502039794921879,-0.0024080271315315,-40.17395948501001,-0.050089
57,300.0,-0.054020654296875,-0.0023909360972539,-39.88882377800967,-0.049324
58,300.0,-0.053017236328125,-0.0023735535354067,-39.598824414526185,-0.048308
59,300.0,-0.0520162658691406,-0.0023537135210126,-39.26782651005338,-0.047211
60,300.0,-0.0510152923583984,-0.0023341443563754,-38.94134728687687,-0.04618
61,300.0,-0.0500131011962891,-0.0023152164442254,-38.62556630339339,-0.045351999999999996
62,300.0,-0.0490145721435547,-0.0022960916566821,-38.306500778813806,-0.04421
63,300.0,-0.0480111572265625,-0.0022721269034333,-37.90668841230063,-0.04328
64,300.0,-0.0470101898193359,-0.0022522937223905,-37.57580451101935,-0.042369
65,300.0,-0.04602021484375,-0.0022309261178846,-37.219321286029356,-0.041507999999999996
66,300.0,-0.0450009155273438,-0.0022053545866636,-36.79270248020687,-0.040402
67,300.0,-0.0440048309326172,-0.002181298641451,-36.3913687262429,-0.039564999999999996
68,300.0,-0.043003860473632805,-0.002157552248223,-35.995199336386385,-0.038561
69,300.0,-0.0420199981689453,-0.0021309256391228,-35.55097829701034,-0.037516
70,300.0,-0.041017803955078105,-0.0021048751443627,-35.11636877481982,-0.036472000000000004
71,300.0,-0.0400131713867188,-0.0020768771268546,-34.64926804895896,-0.035547
72,300.0,-0.0390207550048828,-0.002050161970728,-34.203569748548546,-0.034649
73,300.0,-0.0380148956298828,-0.0020200432437449,-33.701088484232564,-0.033665
74,300.0,-0.0370163665771484,-0.0019872459847585,-33.153920332974636,-0.032596
75,300.0,-0.0360092864990234,-0.0019568725313098,-32.64718937787454,-0.031642
76,300.0,-0.0350083160400391,-0.0019208926800327,-32.04692492547047,-0.03084
77,300.0,-0.0340085662841797,-0.0018885201387938,-31.506842489052385,-0.02973
78,300.0,-0.0330124816894531,-0.0018539077911563,-30.92939257851685,-0.028868
79,300.0,-0.0320102935791016,-0.0018164365522357,-30.30424678404571,-0.027833999999999998
80,300.0,-0.0310154327392578,-0.0017776950001185,-29.65790790988488,-0.026548000000000002
81,300.0,-0.0300120178222656,-0.0017344773474855,-28.936892684109104,-0.025764999999999996
82,300.0,-0.029006155395507802,-0.0016943550122853,-28.267517722477475,-0.024832
