,Temp,Field,Moment_emu,Moment_emu_g,Field_True
0,300.0,-7.0000484375,-0.0021190227493155,-41.60657273346751,-6.764925
1,300.0,-6.500039453125,-0.002158528497401,-42.38225991362655,-6.28322
2,300.0,-6.00001875,-0.0021942078023767,-43.08281567596112,-5.799313
3,300.0,-5.50003515625,-0.0022275474995875,-43.73743372447477,-5.316038
4,300.0,-5.000031640625,-0.002261506789418,-44.404217345729435,-4.832623
5,300.0,-4.50003984375,-0.0022956064172073,-45.073756473734534,-4.349575
6,300.0,-4.00002265625,-0.002330473891492,-45.758372108619675,-3.8666050000000003
7,300.0,-3.50004296875,-0.0023639923826329,-46.41650073891419,-3.3831629999999997
8,300.0,-3.000046484375,-0.0023964520486616,-47.05383955746318,-2.899338
9,300.0,-2.5000439453125,-0.0024279971833146,-47.67322174189279,-2.4161
10,300.0,-2.0000400390625,-0.0024580658454945,-48.263613695160025,-1.9329150000000002
11,300.0,-1.5000263671875,-0.0024826666302304,-48.74664500746908,-1.4495799999999999
12,300.0,-1.00002978515625,-0.0024976360379131,-49.040566226450025,-0.9662440000000001
13,300.0,-0.950047265625,-0.0024979317132354,-49.04637175015512,-0.91775
14,300.0,-0.90003662109375,-0.0024964485539111,-49.01725022405458,-0.869359
15,300.0,-0.85001376953125,-0.0024963812807122,-49.01592932872962,-0.820809
16,300.0,-0.800022607421875,-0.002495415851235,-48.996973320930685,-0.7724270000000001
17,300.0,-0.750040087890625,-0.0024933152552792,-48.95572855447084,-0.723916
18,300.0,-0.700040380859375,-0.0024914146559538,-48.91841068042018,-0.675545
19,300.0,-0.6500419921875,-0.002487916367796,-48.8497225171019,-0.627235
20,300.0,-0.60004111328125,-0.0024838409591235,-48.76970271202631,-0.578851
21,300.0,-0.550031640625,-0.0024760362983158,-48.6164598137797,-0.5304949999999999
22,300.0,-0.500039306640625,-0.0024693969559077,-48.486097700916936,-0.48213999999999996
23,300.0,-0.45003720703125,-0.0024582531771164,-48.267291912750835,-0.433838
24,300.0,-0.400025341796875,-0.0024435776762339,-47.979141492909875,-0.385323
25,300.0,-0.350042822265625,-0.0024239696908954,-47.59414276252504,-0.33692
26,300.0,-0.300046826171875,-0.0023959030399116,-47.04305988438249,-0.288381
27,300.0,-0.250016625976562,-0.0023549690449822,-46.239329373300606,-0.23994400000000002
28,300.0,-0.200018188476562,-0.0022920576553963,-45.00407727069114,-0.191347
29,300.0,-0.150027075195313,-0.0021853267659417,-42.90843836524052,-0.142725
30,300.0,-0.100037194824219,-0.0019728993749524,-38.737470546876104,-0.094154
31,300.0,-0.0800348937988281,-0.0018225293697021,-35.78498664249165,-0.074985
32,300.0,-0.0790461486816406,-0.0018099361296299,-35.53772098232672,-0.073589
33,300.0,-0.0780427307128906,-0.0017988334137683,-35.319721456279204,-0.07266900000000001
34,300.0,-0.0770429809570312,-0.0017904624049347,-35.15535843186137,-0.071564
35,300.0,-0.0760420104980469,-0.0017781513755005,-34.91363391911447,-0.07061100000000001
36,300.0,-0.0750434814453125,-0.001768546300898,-34.72504026895739,-0.069597
37,300.0,-0.0740400634765625,-0.0017592872574404,-34.54324086865109,-0.068772
38,300.0,-0.0730378784179688,-0.001753656964791,-34.432691238778716,-0.068618
39,300.0,-0.0720393493652344,-0.0017378973398125,-34.12325426688592,-0.066726
40,300.0,-0.0710359313964844,-0.0017276098384377,-33.921261308417435,-0.065582
41,300.0,-0.07003740844726561,-0.0017149191331396,-33.67208193873159,-0.06479700000000001
42,300.0,-0.0690376586914062,-0.0017045432205947,-33.46835304525231,-0.063777
43,300.0,-0.0680269104003906,-0.0016941358348237,-33.26400618149813,-0.062852
44,300.0,-0.0670222717285156,-0.0016798169429508,-32.98285770569016,-0.061767999999999997
45,300.0,-0.06602130126953129,-0.0016657110765114,-32.70589194014137,-0.060778
46,300.0,-0.0650203308105469,-0.0016544413803647,-32.48461379078539,-0.059908
47,300.0,-0.0640144714355469,-0.0016418945519319,-32.23825941354604,-0.058971
48,300.0,-0.0630183898925781,-0.0016264229037316,-31.93447680603966,-0.057995000000000005
49,300.0,-0.062018640136718706,-0.001613082007559,-31.67253107321814,-0.057076999999999996
50,300.0,-0.0610164489746094,-0.0016024482086436,-31.463738634274495,-0.056027
51,300.0,-0.06002158203125,-0.001586451073841,-31.149638206184957,-0.055171000000000005
52,300.0,-0.05904139404296879,-0.0015699275763613,-30.82520275596505,-0.05424299999999999
53,300.0,-0.0580428649902344,-0.0015575666154423,-30.582497848857255,-0.053216
54,300.0,-0.0570492248535156,-0.0015425592091983,-30.287830535996463,-0.052158
55,300.0,-0.0560445922851562,-0.0015250140319617,-29.943334615387787,-0.051229
56,300.0,-0.0550460693359375,-0.0015110844706966,-29.669830565415275,-0.050089
57,300.0,-0.054021875,-0.0014912538357924,-29.280460156929117,-0.049324
58,300.0,-0.053016015625,-0.0014755568984905,-28.972254044580794,-0.048308
59,300.0,-0.0520162658691406,-0.0014576425760057,-28.620510033491065,-0.047211
60,300.0,-0.0510482940673828,-0.0014411988221209,-28.297640332238366,-0.04618
61,300.0,-0.0500497680664063,-0.0014232558951627,-27.94533467823876,-0.045351999999999996
62,300.0,-0.0490426849365234,-0.001403691539904,-27.561192615432947,-0.04421
63,300.0,-0.0480466003417969,-0.0013839920387015,-27.17439699001571,-0.04328
64,300.0,-0.0470419647216797,-0.0013671286559254,-26.843287962407224,-0.042369
65,300.0,-0.0460263305664063,-0.0013464443496418,-26.437155893222066,-0.041507999999999996
66,300.0,-0.0450204711914063,-0.0013255407844633,-26.026718721054387,-0.040402
67,300.0,-0.0440463836669922,-0.0013046053294416,-25.61565539842136,-0.039564999999999996
68,300.0,-0.043044192504882804,-0.0012813874784039,-25.159777702805812,-0.038561
69,300.0,-0.042048110961914104,-0.0012603569344628,-24.746847328937754,-0.037516
70,300.0,-0.0410459197998047,-0.0012391162185214,-24.329790271380325,-0.036472000000000004
71,300.0,-0.0400486114501953,-0.0012154716964492,-23.86553497838602,-0.035547
72,300.0,-0.039043975830078105,-0.0011927090518523,-23.418595166940896,-0.034649
73,300.0,-0.0380442260742188,-0.0011686399343043,-22.946003029732964,-0.033665
74,300.0,-0.0370444793701172,-0.001142133793678,-22.42556044920479,-0.032596
75,300.0,-0.0360398406982422,-0.0011175388977844,-21.942644763094442,-0.031642
76,300.0,-0.0350413116455078,-0.0010918612511588,-21.43846949064991,-0.03084
77,300.0,-0.0340427886962891,-0.0010665140268068,-20.94078199110151,-0.02973
78,300.0,-0.033039370727539104,-0.0010375235504991,-20.37155999409189,-0.028868
79,300.0,-0.0320396209716797,-0.0010077512755119,-19.78698754195759,-0.027833999999999998
80,300.0,-0.031036209106445303,-0.0009816471340527,-19.274438131802473,-0.026548000000000002
81,300.0,-0.0300450164794922,-0.0009521471317367,-18.695211697166698,-0.025764999999999996
82,300.0,-0.02904404296875,-0.0009251077286747,-18.164298619177302,-0.024832
83,300.0,-0.0280467407226562,-0.0008946925944312,-17.56710375871196,-0.023949
84,300.0,-0.0270421020507813,-0.0008660394080723,-17.0045043799784,-0.022893
85,300.0,-0.026042352294921897,-0.0008315460109112,-16.327233671926173,-0.021838999999999997
86,300.0,-0.0250401596069336,-0.0008027146475527,-15.761135824714312,-0.020949000000000002
87,300.0,-0.024037968444824198,-0.0007690113041633,-15.099377658812095,-0.019971
88,300.0,-0.023043109130859402,-0.0007357771608769,-14.446832139738856,-0.01904
89,300.0,-0.022045802307128902,-0.0007024994617782,-13.793431411313566,-0.017943
90,300.0,-0.021041165161132802,-0.0006673738914865,-13.103748114794817,-0.017117
91,300.0,-0.0200414169311523,-0.0006304161991611,-12.378091481663066,-0.016066
92,300.0,-0.0190453353881836,-0.0005972099518741,-11.726093694759472,-0.015085
93,300.0,-0.0180394760131836,-0.0005612726393165,-11.020472006999805,-0.014009
94,300.0,-0.0170397277832031,-0.0005236544685458,-10.281847016410758,-0.012991999999999998
95,300.0,-0.0160228668212891,-0.0004895273884124,-9.611768867315924,-0.012153
96,300.0,-0.015021896362304698,-0.0004494524182988,-8.82490513054781,-0.011177
97,300.0,-0.014019703674316401,-0.0004121693923918,-8.09286063993324,-0.010175
98,300.0,-0.013049287414550801,-0.0003762099487889,-7.386804413683487,-0.009132
99,300.0,-0.0120177612304687,-0.0003335441620998,-6.54907053013548,-0.008226
100,300.0,-0.0110216796875,-0.0002990129016242,-5.8710563837463186,-0.007226000000000001
101,300.0,-0.010023152923584,-0.0002568003383171,-5.042221447419988,-0.0061719999999999995
102,300.0,-0.00902462692260742,-0.0002166435419824,-4.2537510697506375,-0.0053479999999999995
103,300.0,-0.00801754455566406,-0.0001756038865598,-3.4479459367720398,-0.004286
104,300.0,-0.00705079498291016,-0.0001387863451167,-2.7250411371824073,-0.003254
105,300.0,-0.00604860191345215,-9.89121972736403e-05,-1.942120504096609,-0.002128
106,300.0,-0.00504396438598633,-5.81838409567893e-05,-1.1424276645746967,-0.001341
107,300.0,-0.00404666023254395,-1.9590745425861e-05,-0.3846602282713725,-0.00040300000000000004
108,300.0,-0.00304691143035889,2.22381521830262e-05,0.43664151154577263,0.000553
109,300.0,-0.00204594039916992,6.26668945250777e-05,1.230451492736652,0.00155
110,300.0,-0.00104374742507935,0.0001029571109116,2.021541545485961,0.0026079999999999996
111,300.0,-3.91099721193314e-05,0.0001437086651545,2.821689871480463,0.0033590000000000004
112,300.0,0.000993637752532959,0.0001849879753122,3.632200575538975,0.004691
113,300.0,0.00199583072662354,0.0002251806869333,4.421376142417043,0.005487
114,300.0,0.00299313526153564,0.0002669301759396,5.241118710771647,0.0065
115,300.0,0.00398799514770508,0.0003047554504469,5.9838101403279005,0.007448000000000001
116,300.0,0.0049975212097168,0.0003427163174175,6.72916389981347,0.008473
117,300.0,0.00599727020263672,0.0003833075276759,7.526163904887099,0.00946
118,300.0,0.006994573974609369,0.0004194483955953,8.235782360009818,0.010478
119,300.0,0.00800043411254883,0.0004563549492664,8.960434896257608,0.01139
120,300.0,0.00899773788452148,0.0004932819304785,9.685488523041428,0.012422
121,300.0,0.0100048202514648,0.0005326437086744,10.458348884241115,0.01344
122,300.0,0.0110021240234375,0.0005687516367534,11.167320572420971,0.014663999999999998
123,300.0,0.0120030960083008,0.0006403561909086,12.573261160585117,0.015394999999999999
124,300.0,0.0130077331542969,0.0006404279525871,12.574670186277242,0.016408000000000002
125,300.0,0.0140087036132812,0.0006735861405126,13.22572433757314,0.017289
126,300.0,0.015009674072265599,0.000711749493054,13.975053859297073,0.018080000000000002
127,300.0,0.0160118682861328,0.0007397621250332,14.52507608547418,0.019413
128,300.0,0.0170091720581055,0.0007748040320319,15.21311667056548,0.0202
129,300.0,0.0180101425170898,0.0008077469831252,15.859944691246808,0.021393000000000002
130,300.0,0.019013558959960902,0.0008400309404895,16.49383350656784,0.0221
131,300.0,0.0200157501220703,0.0008723534927138,17.128480123970153,0.023119
132,300.0,0.0210020553588867,0.000901896502097,17.70855099346161,0.024149
133,300.0,0.022004248046875,0.0009309056312463,18.27813923515217,0.025121
134,300.0,0.023005220031738303,0.0009635686210057,18.91947027303554,0.02609
135,300.0,0.0240049667358398,0.0009911925682581,19.461860755116827,0.027223
136,300.0,0.0250083831787109,0.0010165858786498,19.960453144508147,0.028074
137,300.0,0.026010577392578102,0.0010414556411321,20.448765779149813,0.029093
138,300.0,0.027006658935546896,0.001075320617626,21.113697577577067,0.029986000000000002
139,300.0,0.0280112945556641,0.0010993668440804,21.585840252903985,0.031051
140,300.0,0.029002490234375,0.0011248562768704,22.086319985674454,0.03135
141,300.0,0.0300156829833984,0.0011518139746976,22.615628798303554,0.032962
142,300.0,0.0310154327392578,0.0011749461641409,23.069824546257607,0.033962
143,300.0,0.0320237365722656,0.0012014605841481,23.590429690714707,0.035022000000000005
144,300.0,0.0330234832763672,0.0012257075499275,24.066513841105436,0.035986000000000004
145,300.0,0.0340220092773438,0.0012435082667408,24.416027228368346,0.036947
146,300.0,0.035022982788085896,0.0012690061790464,24.916673454671116,0.037933999999999996
147,300.0,0.0360251739501953,0.0012899722099257,25.328337127934418,0.038877999999999996
148,300.0,0.0370285888671875,0.0013109849808375,25.7409185320538,0.039695
149,300.0,0.0380234497070313,0.001329530776762,26.10506139332417,0.040795
150,300.0,0.0390244201660156,0.0013507067990973,26.520848205326917,0.041805
151,300.0,0.040024169921875,0.001371922932189,26.937422583722757,0.042739
152,300.0,0.0410275848388672,0.0013928629368466,27.348575237514233,0.043613
153,300.0,0.0420273345947266,0.0014121646029116,27.727559452417044,0.044714
154,300.0,0.0430270812988281,0.0014283252146007,28.04486971530925,0.04551
155,300.0,0.0440194976806641,0.0014477710497069,28.426684659471825,0.046556
156,300.0,0.0450229125976562,0.0014642207760091,28.749671627903005,0.047514999999999995
157,300.0,0.046023886108398394,0.001485195746943,29.16151083728647,0.048692
158,300.0,0.047024853515625,0.0014998788243063,29.44981001975849,0.049645
159,300.0,0.048025823974609395,0.0015172145204335,29.790192822177495,0.050589
160,300.0,0.0490121276855469,0.0015315871358733,30.072396149092874,0.051466
161,300.0,0.0500143218994141,0.0015494145658427,30.42243404364225,0.052434
162,300.0,0.0510152923583984,0.0015615008712675,30.659746147015507,0.053591999999999994
163,300.0,0.05201015625,0.0015771971853188,30.967940021967404,0.054362
164,300.0,0.0530123474121094,0.0015934801333197,31.287652333000196,0.055575
165,300.0,0.0540133178710937,0.0016064375042511,31.54206762715688,0.056449
166,300.0,0.05502039794921879,0.0016198525644563,31.80546955539564,0.057434000000000006
167,300.0,0.056025036621093705,0.0016366521751301,32.135326430985664,0.058437
168,300.0,0.0570211181640625,0.0016472169545038,32.34276368552523,0.059313
169,300.0,0.0580269775390625,0.0016638492650489,32.66933565774396,0.060358
170,300.0,0.059036505126953104,0.0016757403801499,32.90281523954251,0.06138099999999999
171,300.0,0.0600362548828125,0.0016876183020778,33.13603577612016,0.06224299999999999
172,300.0,0.0610445556640625,0.001700144651862,33.381988059336344,0.063414
173,300.0,0.0620430847167969,0.0017064241808234,33.50528530970744,0.063983
174,300.0,0.06304527587890629,0.0017208207779449,33.78795951197526,0.065197
