,Temp,Field,Moment_emu,Moment_emu_g,Field_True
0,300.0,-6.99995703125,-0.148090956233768,-81.13150364526109,-6.764925
1,300.0,-6.5000421875,-0.14801842577615,-81.0917678961223,-6.28322
2,300.0,-6.000041796875,-0.147906289967801,-81.03033438947745,-5.799313
3,300.0,-5.500026953125,-0.147776313593394,-80.9591269439846,-5.316038
4,300.0,-5.0000390625,-0.147632047230461,-80.8800907405063,-4.832623
5,300.0,-4.5000328125,-0.14748743388235,-80.80086444149518,-4.349575
6,300.0,-4.000023828125,-0.147308790330329,-80.70299472439298,-3.8666050000000003
7,300.0,-3.500026171875,-0.147102316824422,-80.58987839086954,-3.3831629999999997
8,300.0,-3.000035546875,-0.146851701405623,-80.45257894814223,-2.899338
9,300.0,-2.500028125,-0.146541205309386,-80.28247392752283,-2.4161
10,300.0,-2.000025390625,-0.146127795485048,-80.05598770903073,-1.9329150000000002
11,300.0,-1.50002265625,-0.145549501942803,-79.73917008678093,-1.4495799999999999
12,300.0,-1.0000310546875,-0.144572232718057,-79.20377397829256,-0.9662440000000001
13,300.0,-0.95004599609375,-0.144436801356621,-79.12957802282392,-0.91775
14,300.0,-0.9000451171875,-0.144290440222104,-79.04939420052592,-0.869359
15,300.0,-0.8500455078125,-0.14411356169674,-78.95249145176734,-0.820809
16,300.0,-0.80004091796875,-0.143920480206465,-78.84671192254781,-0.7724270000000001
17,300.0,-0.750043701171875,-0.143698352410949,-78.7250193998581,-0.723916
18,300.0,-0.700019677734375,-0.143438356661202,-78.58258095084805,-0.675545
19,300.0,-0.650046875,-0.143139930385409,-78.41908837103028,-0.627235
20,300.0,-0.60003623046875,-0.142781824786562,-78.22290052514737,-0.578851
21,300.0,-0.550029248046875,-0.142356275421824,-77.98976366983541,-0.5304949999999999
22,300.0,-0.500029541015625,-0.141827270781499,-77.69994893032398,-0.48213999999999996
23,300.0,-0.450021337890625,-0.141145957793335,-77.32669219278536,-0.433838
24,300.0,-0.400043676757812,-0.140243911544913,-76.83250692750475,-0.385323
25,300.0,-0.350045263671875,-0.138992155982967,-76.1467337140704,-0.33692
26,300.0,-0.300039501953125,-0.137122351818637,-75.1223631027091,-0.288381
27,300.0,-0.250030053710938,-0.134114252721983,-73.47437858675902,-0.23994400000000002
28,300.0,-0.200041418457031,-0.128785781623891,-70.55518025545712,-0.191347
29,300.0,-0.150022192382813,-0.118586070761907,-64.96727738802346,-0.142725
30,300.0,-0.100018865966797,-0.0987667889842659,-54.109300826302174,-0.094154
31,300.0,-0.0800336730957031,-0.0867434245411562,-47.522310905022785,-0.074985
32,300.0,-0.0790192565917969,-0.0859334655765016,-47.07857557935134,-0.073589
33,300.0,-0.0780158386230469,-0.085237665378857,-46.69738203649606,-0.07266900000000001
34,300.0,-0.07701731567382811,-0.0845434766897528,-46.3170713572156,-0.071564
35,300.0,-0.07600901489257811,-0.0838375649449445,-45.93033821189955,-0.07061100000000001
36,300.0,-0.0750141540527344,-0.0831221205799445,-45.53838262876892,-0.069597
37,300.0,-0.0740107360839844,-0.0823991764983281,-45.14231833230781,-0.068772
38,300.0,-0.073008544921875,-0.0816660354369305,-44.740667629199535,-0.068618
39,300.0,-0.07200634765625,-0.0809221693005853,-44.33314120295909,-0.066726
40,300.0,-0.0710065979003906,-0.080170490908574,-43.921334839137245,-0.065582
41,300.0,-0.0700056335449219,-0.079404465089458,-43.501668249653754,-0.06479700000000001
42,300.0,-0.0690022155761719,-0.0786293997040871,-43.07704934153304,-0.063777
43,300.0,-0.0680146850585938,-0.07786716974538,-42.659462310926294,-0.062852
44,300.0,-0.0670222717285156,-0.0770850345199561,-42.2309701969825,-0.061767999999999997
45,300.0,-0.0660151916503906,-0.0762829192669229,-41.79153204201066,-0.060778
46,300.0,-0.0650203308105469,-0.0754784425075471,-41.350800137809856,-0.059908
47,300.0,-0.06401691284179689,-0.074669552297981,-40.90765032869907,-0.058971
48,300.0,-0.0630147277832031,-0.073846418986969,-40.45669744864955,-0.057995000000000005
49,300.0,-0.0620113098144531,-0.0730155520711212,-40.001507719808686,-0.057076999999999996
