,Temp,Field,Moment_emu,Moment_emu_g,Field_True
0,300.0,-7.0000375,-0.123242401185821,-71.576571143554,-6.764925
1,300.0,-6.500049609375,-0.123028752513161,-71.45248852855109,-6.28322
2,300.0,-6.000044140625,-0.12278788131777,-71.31259565006569,-5.799313
3,300.0,-5.5000453125,-0.122510575493939,-71.15154231260244,-5.316038
4,300.0,-5.00004140625,-0.122213387215076,-70.97894166720448,-4.832623
5,300.0,-4.5000328125,-0.121865859478625,-70.77710493314946,-4.349575
6,300.0,-4.00002890625,-0.121472404545901,-70.54859465817162,-3.8666050000000003
7,300.0,-3.500028515625,-0.121002792483257,-70.27585393835209,-3.3831629999999997
8,300.0,-3.000044140625,-0.12040183901309,-69.92683291638645,-2.899338
9,300.0,-2.5000451171875,-0.119599083663712,-69.460609645639,-2.4161
10,300.0,-2.000036328125,-0.118441647180225,-68.78839509928704,-1.9329150000000002
11,300.0,-1.50002265625,-0.116579515671507,-67.70690863740413,-1.4495799999999999
12,300.0,-1.0000236328125,-0.112934012199825,-65.58967758636761,-0.9662440000000001
13,300.0,-0.950047265625,-0.112347795691293,-65.24921547897,-0.91775
14,300.0,-0.90003662109375,-0.111721892022449,-64.8857039111089,-0.869359
15,300.0,-0.85004794921875,-0.11102492236611,-64.48091872588172,-0.820809
16,300.0,-0.80001650390625,-0.110230084547992,-64.01929378926327,-0.7724270000000001
17,300.0,-0.750021728515625,-0.109321798307616,-63.49178041661353,-0.723916
18,300.0,-0.700035546875,-0.108281549925411,-62.88762623250608,-0.675545
19,300.0,-0.65001875,-0.107070362922756,-62.18419452532138,-0.627235
20,300.0,-0.600032568359375,-0.105637069513981,-61.35176813103124,-0.578851
21,300.0,-0.55004140625,-0.103936172471582,-60.363923225449035,-0.5304949999999999
22,300.0,-0.5000369140625,-0.101883594955499,-59.171829764156776,-0.48213999999999996
23,300.0,-0.450031103515625,-0.0993667873498057,-57.71012131876607,-0.433838
24,300.0,-0.400031494140625,-0.0962168905682033,-55.880728115502556,-0.385323
25,300.0,-0.35004892578125,-0.0921783185858674,-53.53521121522582,-0.33692
26,300.0,-0.300034619140625,-0.0869034656296666,-50.47168856183296,-0.288381
27,300.0,-0.250041040039062,-0.079859044672226,-46.380438367306574,-0.23994400000000002
28,300.0,-0.200041418457031,-0.0703756807226562,-40.87270184249523,-0.191347
29,300.0,-0.150030749511719,-0.0576996869511295,-33.51075367146826,-0.142725
30,300.0,-0.100026202392578,-0.0412399096789586,-23.951264343179048,-0.094154
31,300.0,-0.0800397827148438,-0.0335978129263937,-19.512896730792605,-0.074985
32,300.0,-0.07904248046875,-0.0331505103827069,-19.25311290612809,-0.073589
33,300.0,-0.0780390625,-0.0327536448788101,-19.02262184379264,-0.07266900000000001
34,300.0,-0.07703931274414061,-0.03235237212063,-18.789571141700733,-0.071564
35,300.0,-0.0760383422851562,-0.031950141052797,-18.55596387369978,-0.07061100000000001
36,300.0,-0.0750361511230469,-0.0315512398608638,-18.324290526954407,-0.069597
37,300.0,-0.0740400634765625,-0.0311310976709391,-18.080280859354605,-0.068772
38,300.0,-0.0730378784179688,-0.0307206825856814,-17.8419204877156,-0.068618
39,300.0,-0.0720369079589844,-0.0303115593784626,-17.604310411425196,-0.066726
40,300.0,-0.0710334899902344,-0.0299085910748988,-17.370274972557507,-0.065582
41,300.0,-0.07003862915039061,-0.0295039431495622,-17.13526404500931,-0.06479700000000001
42,300.0,-0.0690339904785156,-0.0290888722807882,-16.89419969310964,-0.063777
43,300.0,-0.0680366882324219,-0.0286782642177971,-16.655727244098475,-0.062852
