,Temp,Field,Moment_emu,Moment_emu_g,,
99,94.7256012,0.010013375,0.012040746,5.235106878,,
100,95.53090668,0.010013375,0.011995693,5.21551888,,
101,96.31588745,0.010013375,0.011951466,5.196289499,,
102,97.80376434,0.010013375,0.011868415,5.160180466,,
103,98.65198898,0.010013375,0.011823875,5.14081536,,
104,99.44659424,0.010013375,0.011779915,5.121702298,,
105,100.9661407,0.010013375,0.01169803,5.086099988,,
106,101.7934113,0.010013375,0.011654158,5.067025418,,
107,102.6080856,0.010013375,0.011610585,5.048080648,,
108,104.1072044,0.010013375,0.011530017,5.013050664,,
109,104.9118805,0.010013375,0.011487012,4.994352875,,
110,106.4594193,0.010013375,0.01140717,4.959639203,,
111,107.2807999,0.010013375,0.011363759,4.940764651,,
112,108.7640152,0.010013375,0.011284601,4.906348191,,
113,109.5647125,0.010013375,0.011242154,4.887893049,,
114,111.1068382,0.010013375,0.0111633,4.853608518,,
115,111.9125748,0.010013375,0.011121702,4.835522528,,
116,113.3532906,0.010013375,0.011047951,4.803457144,,
117,114.160923,0.010013375,0.011006491,4.785430698,,
118,115.7193108,0.010013375,0.010929827,4.752098588,,
119,116.5230026,0.010013375,0.010888779,4.734251719,,
120,118.053196,0.010013375,0.01081282,4.701226125,,
121,118.8419609,0.010013375,0.010772675,4.683771919,,
122,120.3713188,0.010013375,0.010698336,4.651450572,,
123,121.1900826,0.010013375,0.010658649,4.634195429,,
124,122.7002182,0.010013375,0.010585155,4.602241165,,
125,123.5154457,0.010013375,0.010545596,4.585041925,,
126,125.0434952,0.010013375,0.010472787,4.55338556,,
127,125.8701591,0.010013375,0.010433753,4.536414404,,
128,127.4115067,0.010013375,0.010361555,4.505023973,,
129,128.2132835,0.010013375,0.010323167,4.488333423,,
130,129.7054596,0.010013375,0.010251915,4.457354305,,
131,130.5146332,0.010013375,0.010214325,4.441010654,,
132,132.0343781,0.010013375,0.010143767,4.410333515,,
133,132.8469086,0.010013375,0.010106364,4.39407152,,
134,134.3632965,0.010013375,0.010037175,4.363989137,,
135,135.205986,0.010013375,0.010000409,4.348003986,,
